"Date","Price","Open","High","Low","Change %"
"Dec 20","1.2151","1.1938","1.2177","1.1935","1.87%"
"Nov 20","1.1928","1.1658","1.2004","1.1603","2.41%"
"Oct 20","1.1647","1.1719","1.1882","1.1639","-0.61%"
"Sep 20","1.1718","1.1936","1.2012","1.1612","-1.83%"
"Aug 20","1.1936","1.1783","1.1967","1.1696","1.38%"
"Jul 20","1.1774","1.1233","1.1910","1.1185","4.83%"
"Jun 20","1.1231","1.1097","1.1423","1.1095","1.19%"
"May 20","1.1099","1.0956","1.1146","1.0766","1.30%"
"Apr 20","1.0957","1.1031","1.1040","1.0726","-0.67%"
"Mar 20","1.1031","1.1003","1.1494","1.0637","0.04%"
"Feb 20","1.1027","1.1092","1.1096","1.0776","-0.61%"
"Jan 20","1.1094","1.1213","1.1227","1.0991","-1.05%"
"Dec 19","1.1212","1.1014","1.1240","1.1003","1.77%"
"Nov 19","1.1017","1.1152","1.1176","1.0980","-1.21%"
"Oct 19","1.1152","1.0900","1.1180","1.0878","2.31%"
"Sep 19","1.0900","1.0989","1.1110","1.0884","-0.83%"
"Aug 19","1.0991","1.1076","1.1250","1.0963","-0.76%"
"Jul 19","1.1076","1.1376","1.1376","1.1059","-2.59%"
"Jun 19","1.1370","1.1169","1.1414","1.1156","1.80%"
"May 19","1.1169","1.1215","1.1267","1.1108","-0.43%"
"Apr 19","1.1217","1.1218","1.1326","1.1112","-0.01%"
"Mar 19","1.1218","1.1370","1.1449","1.1175","-1.35%"
"Feb 19","1.1371","1.1446","1.1489","1.1232","-0.66%"
"Jan 19","1.1446","1.1466","1.1572","1.1288","-0.21%"
"Dec 18","1.1470","1.1315","1.1486","1.1267","1.35%"
"Nov 18","1.1317","1.1311","1.1502","1.1215","0.04%"
"Oct 18","1.1312","1.1609","1.1630","1.1301","-2.56%"
"Sep 18","1.1609","1.1596","1.1816","1.1525","0.07%"
"Aug 18","1.1601","1.1691","1.1735","1.1299","-0.77%"
"Jul 18","1.1691","1.1650","1.1790","1.1572","0.05%"
"Jun 18","1.1685","1.1693","1.1853","1.1509","-0.06%"
"May 18","1.1692","1.2078","1.2087","1.1508","-3.20%"
"Apr 18","1.2079","1.2323","1.2414","1.2054","-1.98%"
"Mar 18","1.2323","1.2194","1.2477","1.2154","1.06%"
"Feb 18","1.2194","1.2413","1.2556","1.2188","-1.83%"
"Jan 18","1.2421","1.2002","1.2537","1.1915","3.53%"
"Dec 17","1.1998","1.1904","1.2030","1.1718","0.79%"
"Nov 17","1.1904","1.1646","1.1962","1.1554","2.22%"
"Oct 17","1.1646","1.1818","1.1882","1.1575","-1.42%"
"Sep 17","1.1814","1.1911","1.2094","1.1717","-0.81%"
"Aug 17","1.1910","1.1842","1.2071","1.1663","0.57%"
"Jul 17","1.1842","1.1420","1.1847","1.1313","3.64%"
"Jun 17","1.1426","1.1243","1.1448","1.1120","1.63%"
"May 17","1.1243","1.0908","1.1269","1.0840","3.18%"
"Apr 17","1.0897","1.0660","1.0952","1.0570","2.30%"
"Mar 17","1.0652","1.0576","1.0907","1.0495","0.71%"
"Feb 17","1.0577","1.0798","1.0830","1.0494","-2.05%"
"Jan 17","1.0798","1.0532","1.0814","1.0342","2.68%"
"Dec 16","1.0516","1.0591","1.0875","1.0353","-0.68%"
"Nov 16","1.0588","1.0982","1.1302","1.0518","-3.58%"
"Oct 16","1.0981","1.1235","1.1245","1.0850","-2.31%"
"Sep 16","1.1241","1.1158","1.1329","1.1122","0.74%"
"Aug 16","1.1158","1.1175","1.1367","1.1045","-0.14%"
"Jul 16","1.1174","1.1106","1.1200","1.0954","0.62%"
"Jun 16","1.1105","1.1132","1.1434","1.0911","-0.24%"
"May 16","1.1132","1.1447","1.1617","1.1099","-2.83%"
"Apr 16","1.1456","1.1380","1.1466","1.1215","0.67%"
"Mar 16","1.1380","1.0872","1.1413","1.0822","4.66%"
"Feb 16","1.0873","1.0833","1.1377","1.0814","0.33%"
"Jan 16","1.0837","1.0862","1.0986","1.0712","-0.21%"
"Dec 15","1.0860","1.0567","1.1059","1.0538","2.80%"
"Nov 15","1.0564","1.1015","1.1053","1.0557","-4.01%"
"Oct 15","1.1005","1.1176","1.1496","1.0895","-1.54%"
"Sep 15","1.1177","1.1210","1.1460","1.1087","-0.34%"
"Aug 15","1.1215","1.0972","1.1715","1.0851","2.07%"
"Jul 15","1.0988","1.1139","1.1216","1.0809","-1.35%"
"Jun 15","1.1138","1.0989","1.1439","1.0889","1.37%"
"May 15","1.0988","1.1222","1.1467","1.0819","-2.10%"
"Apr 15","1.1224","1.0736","1.1268","1.0521","4.59%"
"Mar 15","1.0731","1.1187","1.1241","1.0457","-4.15%"
