DATE,POILWTIUSDM
2010-10-01,81.8995238095238
2010-11-01,84.1918181818182
2010-12-01,89.2234782608696
2011-01-01,89.51
2011-02-01,89.366
2011-03-01,102.916086956522
2011-04-01,110.042857142857
2011-05-01,101.251363636364
2011-06-01,96.2540909090909
2011-07-01,97.1938095238095
2011-08-01,86.3213043478261
2011-09-01,85.6168181818182
2011-10-01,86.4061904761905
2011-11-01,97.0663636363636
2011-12-01,98.6122727272727
2012-01-01,100.148636363636
2012-02-01,102.262857142857
2012-03-01,106.150454545455
2012-04-01,103.284285714286
2012-05-01,94.5069565217391
2012-06-01,82.3595238095238
2012-07-01,87.8904545454546
2012-08-01,94.1104347826087
2012-09-01,94.606
2012-10-01,89.5173913043478
2012-11-01,86.6895454545455
2012-12-01,88.1914285714286
2013-01-01,94.6526086956521
2013-02-01,95.295
2013-03-01,93.1180952380952
2013-04-01,92.0190909090909
2013-05-01,94.7186956521739
2013-06-01,95.7895
2013-07-01,104.545217391304
2013-08-01,106.546363636364
2013-09-01,106.31380952381
2013-10-01,100.500434782609
2013-11-01,93.8123809523809
2013-12-01,97.9022727272727
2014-01-01,94.9965217391304
2014-02-01,100.704
2014-03-01,100.573333333333
2014-04-01,102.178636363636
2014-05-01,102.003181818182
2014-06-01,105.241904761905
2014-07-01,102.986086956522
2014-08-01,96.3814285714286
2014-09-01,93.3490909090909
2014-10-01,84.4
2014-11-01,75.7015
2014-12-01,59.0995652173913
2015-01-01,47.6036363636364
2015-02-01,50.7175
2015-03-01,47.7836363636364
2015-04-01,54.2036363636364
2015-05-01,59.262380952381
2015-06-01,59.8045454545455
2015-07-01,51.1617391304348
2015-08-01,42.8633333333333
2015-09-01,45.4813636363636
2015-10-01,46.1963636363636
2015-11-01,42.6523809523809
2015-12-01,37.2413043478261
2016-01-01,31.7047619047619
2016-02-01,30.3485714285714
2016-03-01,37.7739130434783
2016-04-01,40.9628571428571
2016-05-01,46.8459090909091
2016-06-01,48.7486363636364
2016-07-01,44.8919047619048
2016-08-01,44.7491304347826
2016-09-01,45.1672727272727
2016-10-01,49.8852380952381
2016-11-01,45.6231818181818
2016-12-01,52.0136363636364
2017-01-01,52.5595454545455
2017-02-01,53.4015
2017-03-01,49.5847826086957
2017-04-01,51.168
2017-05-01,48.5595652173913
2017-06-01,45.1677272727273
2017-07-01,46.6738095238095
2017-08-01,48.0317391304348
2017-09-01,49.7061904761905
2017-10-01,51.5645454545455
2017-11-01,56.7104545454546
2017-12-01,57.962380952381
2018-01-01,63.5569565217391
2018-02-01,62.15
2018-03-01,62.8613636363636
2018-04-01,66.3204761904762
2018-05-01,69.8926086956522
2018-06-01,67.5228571428571
2018-07-01,70.9913636363636
2018-08-01,67.9886956521739
2018-09-01,70.1855
2018-10-01,70.7513043478261
2018-11-01,56.5677272727273
2018-12-01,48.6352380952381
2019-01-01,51.3573913043478
2019-02-01,54.986
2019-03-01,58.1538095238095
2019-04-01,63.8759090909091
2019-05-01,60.7334782608696
2019-06-01,54.677
2019-07-01,57.5086956521739
2019-08-01,54.8390909090909
2019-09-01,56.8571428571429
2019-10-01,53.9791304347826
2019-11-01,57.1104761904762
2019-12-01,59.8577272727273
2020-01-01,57.7147826086957
2020-02-01,50.6015
2020-03-01,29.8772727272727
2020-04-01,16.8072727272727
2020-05-01,28.7947619047619
2020-06-01,38.3022727272727
2020-07-01,40.75
2020-08-01,42.3642857142857
2020-09-01,39.6095454545455
2020-10-01,39.5295454545455
