"Date","Price","Open","High","Low","Change %"
"Dec 20","0.933","0.847","0.964","0.839","10.75%"
"Nov 20","0.842","0.855","0.975","0.718","-3.61%"
"Oct 20","0.874","0.689","0.877","0.653","27.42%"
"Sep 20","0.686","0.713","0.731","0.604","-2.93%"
"Aug 20","0.706","0.535","0.789","0.504","32.51%"
"Jul 20","0.533","0.658","0.724","0.520","-18.94%"
"Jun 20","0.658","0.640","0.959","0.618","0.78%"
"May 20","0.653","0.630","0.745","0.590","1.08%"
"Apr 20","0.646","0.663","0.785","0.543","-3.34%"
"Mar 20","0.668","1.105","1.283","0.318","-42.57%"
"Feb 20","1.163","1.514","1.684","1.116","-22.72%"
"Jan 20","1.505","1.919","1.946","1.503","-21.57%"
"Dec 19","1.919","1.796","1.952","1.693","8.17%"
"Nov 19","1.774","1.689","1.973","1.670","5.09%"
"Oct 19","1.688","1.670","1.860","1.505","1.20%"
"Sep 19","1.668","1.508","1.908","1.429","11.27%"
"Aug 19","1.499","2.025","2.061","1.443","-25.31%"
"Jul 19","2.007","2.045","2.150","1.939","0.00%"
"Jun 19","2.007","2.126","2.178","1.974","-5.91%"
"May 19","2.133","2.509","2.578","2.126","-14.82%"
"Apr 19","2.504","2.430","2.614","2.424","4.03%"
"Mar 19","2.407","2.719","2.768","2.340","-11.41%"
"Feb 19","2.717","2.645","2.740","2.624","3.19%"
"Jan 19","2.633","2.686","2.799","2.543","-1.97%"
"Dec 18","2.686","3.037","3.050","2.679","-10.26%"
"Nov 18","2.993","3.155","3.250","2.988","-4.95%"
"Oct 18","3.149","3.067","3.261","3.046","2.74%"
"Sep 18","3.065","2.860","3.113","2.855","7.17%"
"Aug 18","2.860","2.958","3.016","2.808","-3.44%"
"Jul 18","2.962","2.858","2.990","2.807","3.57%"
"Jun 18","2.860","2.862","3.010","2.822","0.00%"
"May 18","2.860","2.959","3.128","2.759","-3.21%"
"Apr 18","2.955","2.759","3.035","2.717","7.81%"
"Mar 18","2.741","2.866","2.936","2.739","-4.29%"
"Feb 18","2.864","2.724","2.957","2.648","5.60%"
"Jan 18","2.712","2.429","2.754","2.416","12.77%"
"Dec 17","2.405","2.411","2.504","2.314","-0.41%"
"Nov 17","2.415","2.379","2.437","2.304","1.60%"
"Oct 17","2.377","2.344","2.477","2.273","1.62%"
"Sep 17","2.339","2.127","2.359","2.016","10.33%"
"Aug 17","2.120","2.303","2.321","2.086","-7.67%"
"Jul 17","2.296","2.314","2.398","2.225","-0.35%"
"Jun 17","2.304","2.213","2.309","2.103","4.44%"
"May 17","2.206","2.282","2.423","2.181","-3.63%"
"Apr 17","2.289","2.396","2.405","2.165","-4.19%"
"Mar 17","2.389","2.415","2.629","2.348","-0.33%"
"Feb 17","2.397","2.461","2.524","2.310","-2.80%"
"Jan 17","2.466","2.439","2.555","2.305","0.82%"
"Dec 16","2.446","2.397","2.641","2.340","2.34%"
"Nov 16","2.390","1.838","2.417","1.716","30.96%"
"Oct 16","1.825","1.600","1.879","1.593","14.21%"
"Sep 16","1.598","1.580","1.752","1.519","1.27%"
"Aug 16","1.578","1.463","1.635","1.463","8.83%"
"Jul 16","1.450","1.471","1.628","1.321","-1.69%"
"Jun 16","1.475","1.844","1.856","1.406","-20.31%"
"May 16","1.851","1.830","1.890","1.700","0.87%"
"Apr 16","1.835","1.784","1.941","1.685","3.67%"
"Mar 16","1.770","1.737","2.002","1.702","1.84%"
"Feb 16","1.738","1.933","1.966","1.530","-9.62%"
"Jan 16","1.923","2.293","2.293","1.911","-15.25%"
"Dec 15","2.269","2.217","2.358","2.120","2.76%"
"Nov 15","2.208","2.137","2.377","2.130","2.89%"
"Oct 15","2.146","2.042","2.183","1.904","5.45%"
"Sep 15","2.035","2.214","2.303","2.035","-8.08%"
"Aug 15","2.214","2.200","2.293","1.905","1.23%"
"Jul 15","2.187","2.373","2.470","2.176","-6.90%"
"Jun 15","2.349","2.128","2.500","2.106","10.65%"
"May 15","2.123","2.049","2.366","2.046","4.32%"
"Apr 15","2.035","1.930","2.110","1.802","5.60%"
"Mar 15","1.927","2.005","2.259","1.852","-3.46%"
"Feb 15","1.996","1.653","2.164","1.649","21.78%"
"Jan 15","1.639","2.200","2.213","1.637","-24.47%"
"Dec 14","2.170","2.178","2.347","2.009","-0.14%"
"Nov 14","2.173","2.309","2.407","2.166","-6.94%"
"Oct 14","2.335","2.500","2.508","1.865","-6.41%"
"Sep 14","2.495","2.357","2.655","2.354","6.40%"
"Aug 14","2.345","2.562","2.591","2.303","-8.47%"
"Jul 14","2.562","2.530","2.692","2.441","1.18%"
"Jun 14","2.532","2.484","2.662","2.475","2.30%"
"May 14","2.475","2.659","2.700","2.402","-6.46%"
"Apr 14","2.646","2.726","2.810","2.596","-2.68%"
"Mar 14","2.719","2.610","2.821","2.592","2.64%"
"Feb 14","2.649","2.666","2.786","2.570","0.19%"
"Jan 14","2.644","3.038","3.041","2.646","-12.62%"
"Dec 13","3.026","2.753","3.036","2.752","10.20%"
