Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3689.300049,3767.399902,3645.300049,3759.300049,3759.300049,0
1996-02-01,3753.300049,3791.600098,3688.699951,3727.600098,3727.600098,0
1996-03-01,3729.500000,3792.500000,3629.100098,3699.699951,3699.699951,0
1996-04-01,3692.100098,3858.899902,3692.100098,3817.899902,3817.899902,0
1996-05-01,3816.899902,3829.399902,3707.300049,3747.800049,3747.800049,0
1996-06-01,3737.000000,3774.699951,3671.600098,3711.000000,3711.000000,0
1996-07-01,3710.399902,3790.000000,3612.600098,3703.199951,3703.199951,0
1996-08-01,3709.300049,3922.100098,3697.699951,3867.600098,3867.600098,0
1996-09-01,3873.699951,3994.100098,3835.800049,3953.699951,3953.699951,0
1996-10-01,3954.699951,4073.199951,3951.899902,3979.100098,3979.100098,0
1996-11-01,3982.699951,4094.399902,3896.500000,4058.000000,4058.000000,0
1996-12-01,4055.899902,4123.200195,3882.699951,4118.500000,4118.500000,0
1997-01-01,4118.500000,4275.799805,4036.899902,4275.799805,4275.799805,0
1997-02-01,4272.299805,4362.399902,4252.799805,4308.299805,4308.299805,0
1997-03-01,4293.399902,4466.299805,4214.299805,4312.899902,4312.899902,0
1997-04-01,4205.100098,4466.500000,4200.500000,4436.000000,4436.000000,0
1997-05-01,4435.899902,4723.700195,4423.600098,4621.299805,4621.299805,0
1997-06-01,4644.700195,4796.000000,4524.200195,4604.600098,4604.600098,0
1997-07-01,4606.000000,4998.100098,4597.100098,4907.500000,4907.500000,0
1997-08-01,4914.600098,5095.299805,4779.299805,4817.500000,4817.500000,0
1997-09-01,4816.600098,5269.200195,4795.299805,5244.200195,5244.200195,0
1997-10-01,5241.399902,5367.299805,4382.799805,4842.299805,4842.299805,0
1997-11-01,4877.000000,4985.799805,4680.399902,4831.799805,4831.799805,0
1997-12-01,4871.700195,5247.600098,4859.799805,5135.500000,5135.500000,0
1998-01-01,5135.500000,5458.500000,4988.299805,5458.500000,5458.500000,0
1998-02-01,5589.899902,5821.799805,5530.799805,5767.299805,5767.299805,0
1998-03-01,5767.299805,6105.799805,5629.100098,5932.200195,5932.200195,0
1998-04-01,5930.899902,6150.500000,5699.899902,5928.399902,5928.399902,0
1998-05-01,5932.700195,6064.600098,5794.500000,5870.700195,5870.700195,0
1998-06-01,5870.700195,6049.600098,5646.100098,5832.600098,5832.600098,0
1998-07-01,5840.600098,6183.700195,5782.200195,5837.100098,5837.100098,0
1998-08-01,5832.200195,5832.200195,5108.700195,5249.399902,5249.399902,0
1998-09-01,5139.500000,5399.799805,4899.600098,5064.399902,5064.399902,0
1998-10-01,5024.799805,5455.200195,4599.200195,5438.399902,5438.399902,0
1998-11-01,5454.299805,5881.700195,5359.500000,5743.899902,5743.899902,0
1998-12-01,5723.299805,5970.100098,5377.200195,5882.600098,5882.600098,0
1999-01-01,5882.600098,6195.600098,5736.799805,5896.000000,5896.000000,25492140000
1999-02-01,5926.000000,6319.799805,5697.700195,6175.100098,6175.100098,10997843000
1999-03-01,6177.500000,6365.399902,5968.299805,6295.299805,6295.299805,13258784000
1999-04-01,6283.100098,6635.899902,6280.200195,6552.200195,6552.200195,11327739000
1999-05-01,6552.200195,6663.799805,6110.100098,6226.200195,6226.200195,20807156000
1999-06-01,6231.000000,6613.600098,6227.500000,6318.500000,6318.500000,11647956000
1999-07-01,6372.100098,6649.500000,6092.100098,6231.899902,6231.899902,11878815000
1999-08-01,6228.399902,6434.399902,5976.200195,6246.399902,6246.399902,10057050000
1999-09-01,6251.100098,6388.399902,5868.399902,6029.799805,6029.799805,11775277000
1999-10-01,6029.799805,6279.299805,5798.299805,6255.700195,6255.700195,13150541000
1999-11-01,6255.700195,6759.299805,6231.000000,6597.200195,6597.200195,16793563000
1999-12-01,6597.200195,6950.600098,6575.299805,6930.200195,6930.200195,11529365000
2000-01-01,6930.200195,6930.200195,6246.799805,6268.500000,6268.500000,34287688000
2000-02-01,6268.500000,6450.899902,5972.700195,6232.600098,6232.600098,33468110000
2000-03-01,6232.600098,6770.399902,6232.600098,6540.200195,6540.200195,24499272000
2000-04-01,6540.200195,6586.299805,5915.200195,6327.399902,6327.399902,17953192000
2000-05-01,6327.399902,6419.899902,5991.899902,6359.399902,6359.399902,38243682000
2000-06-01,6359.299805,6635.700195,6221.000000,6312.700195,6312.700195,17657991000
2000-07-01,6312.700195,6545.100098,6274.899902,6365.299805,6365.299805,16688347000
2000-08-01,6365.299805,6675.700195,6296.399902,6672.700195,6672.700195,19036058000
2000-09-01,6672.700195,6838.600098,6075.100098,6294.200195,6294.200195,20830932000
2000-10-01,6294.200195,6475.799805,6017.200195,6438.399902,6438.399902,20713930000
2000-11-01,6438.399902,6514.700195,6070.000000,6142.200195,6142.200195,20611042000
2000-12-01,6142.200195,6421.500000,6083.700195,6222.500000,6222.500000,16184311000
2001-01-01,6222.500000,6360.299805,6029.299805,6297.500000,6297.500000,55745684000
2001-02-01,6297.500000,6309.899902,5901.700195,5917.899902,5917.899902,23977042000
2001-03-01,5917.899902,6050.399902,5279.600098,5633.700195,5633.700195,27732111000
2001-04-01,5633.700195,5995.399902,5354.299805,5967.000000,5967.000000,23006315000
2001-05-01,5966.899902,5993.700195,5690.500000,5796.200195,5796.200195,25749874000
2001-06-01,5796.100098,5981.799805,5519.600098,5642.500000,5642.500000,26428794000
2001-07-01,5642.500000,5726.100098,5260.500000,5529.100098,5529.100098,27218149000
2001-08-01,5529.100098,5644.200195,5286.700195,5345.000000,5345.000000,24439402000
2001-09-01,5345.000000,5379.600098,4219.799805,4903.399902,4903.399902,34128664000
2001-10-01,4903.399902,5279.799805,4730.700195,5039.700195,5039.700195,29698603000
2001-11-01,5039.700195,5383.200195,4988.299805,5203.600098,5203.600098,31085113000
2001-12-01,5203.600098,5411.200195,5032.299805,5217.399902,5217.399902,19398298000
