"Date","Price","Open","High","Low","Change %"
"Jun 17","2.304","2.213","2.309","2.103","4.44%"
"May 17","2.206","2.282","2.423","2.181","-3.63%"
"Apr 17","2.289","2.396","2.405","2.165","-4.19%"
"Mar 17","2.389","2.415","2.629","2.348","-0.33%"
"Feb 17","2.397","2.461","2.524","2.310","-2.80%"
"Jan 17","2.466","2.439","2.555","2.305","0.82%"
"Dec 16","2.446","2.397","2.641","2.340","2.34%"
"Nov 16","2.390","1.838","2.417","1.716","30.96%"
"Oct 16","1.825","1.600","1.879","1.593","14.21%"
"Sep 16","1.598","1.580","1.752","1.519","1.27%"
"Aug 16","1.578","1.463","1.635","1.463","8.83%"
"Jul 16","1.450","1.471","1.628","1.321","-1.69%"
"Jun 16","1.475","1.844","1.856","1.406","-20.31%"
"May 16","1.851","1.830","1.890","1.700","0.87%"
"Apr 16","1.835","1.784","1.941","1.685","3.67%"
"Mar 16","1.770","1.737","2.002","1.702","1.84%"
"Feb 16","1.738","1.933","1.966","1.530","-9.62%"
"Jan 16","1.923","2.293","2.293","1.911","-15.25%"
"Dec 15","2.269","2.217","2.358","2.120","2.76%"
"Nov 15","2.208","2.137","2.377","2.130","2.89%"
"Oct 15","2.146","2.042","2.183","1.904","5.45%"
"Sep 15","2.035","2.214","2.303","2.035","-8.08%"
"Aug 15","2.214","2.200","2.293","1.905","1.23%"
"Jul 15","2.187","2.373","2.470","2.176","-6.90%"
"Jun 15","2.349","2.128","2.500","2.106","10.65%"
"May 15","2.123","2.049","2.366","2.046","4.32%"
"Apr 15","2.035","1.930","2.110","1.802","5.60%"
"Mar 15","1.927","2.005","2.259","1.852","-3.46%"
"Feb 15","1.996","1.653","2.164","1.649","21.78%"
"Jan 15","1.639","2.200","2.213","1.637","-24.47%"
"Dec 14","2.170","2.178","2.347","2.009","-0.14%"
"Nov 14","2.173","2.309","2.407","2.166","-6.94%"
"Oct 14","2.335","2.500","2.508","1.865","-6.41%"
"Sep 14","2.495","2.357","2.655","2.354","6.40%"
"Aug 14","2.345","2.562","2.591","2.303","-8.47%"
"Jul 14","2.562","2.530","2.692","2.441","1.18%"
"Jun 14","2.532","2.484","2.662","2.475","2.30%"
"May 14","2.475","2.659","2.700","2.402","-6.46%"
"Apr 14","2.646","2.726","2.810","2.596","-2.68%"
"Mar 14","2.719","2.610","2.821","2.592","2.64%"
"Feb 14","2.649","2.666","2.786","2.570","0.19%"
"Jan 14","2.644","3.038","3.041","2.646","-12.62%"
"Dec 13","3.026","2.753","3.036","2.752","10.20%"
"Nov 13","2.746","2.560","2.839","2.554","7.60%"
"Oct 13","2.552","2.614","2.759","2.471","-2.41%"
"Sep 13","2.615","2.837","3.007","2.590","-6.24%"
"Aug 13","2.789","2.584","2.936","2.552","7.77%"
"Jul 13","2.588","2.495","2.755","2.415","4.06%"
"Jun 13","2.487","2.157","2.667","1.999","16.65%"
"May 13","2.132","1.668","2.235","1.614","27.44%"
"Apr 13","1.673","1.875","1.888","1.638","-9.67%"
"Mar 13","1.852","1.877","2.087","1.827","-1.54%"
"Feb 13","1.881","1.990","2.064","1.836","-5.24%"
"Jan 13","1.985","1.757","2.037","1.757","13.04%"
"Dec 12","1.756","1.618","1.847","1.564","8.66%"
"Nov 12","1.616","1.702","1.781","1.556","-4.60%"
"Oct 12","1.694","1.623","1.856","1.599","3.74%"
"Sep 12","1.633","1.552","1.894","1.542","5.49%"
"Aug 12","1.548","1.468","1.863","1.446","5.31%"
"Jul 12","1.470","1.652","1.660","1.381","-10.53%"
"Jun 12","1.643","1.570","1.728","1.442","5.12%"
"May 12","1.563","1.919","1.966","1.533","-18.55%"
"Apr 12","1.919","2.237","2.308","1.884","-13.32%"
"Mar 12","2.214","1.983","2.399","1.931","12.16%"
"Feb 12","1.974","1.797","2.080","1.797","9.97%"
"Jan 12","1.795","1.876","2.094","1.792","-4.32%"
"Dec 11","1.876","2.079","2.167","1.798","-9.42%"
"Nov 11","2.071","2.135","2.153","1.872","-2.13%"
"Oct 11","2.116","1.919","2.420","1.717","10.38%"
"Sep 11","1.917","2.222","2.278","1.674","-14.19%"
"Aug 11","2.234","2.820","2.858","1.976","-19.99%"
"Jul 11","2.792","3.162","3.223","2.773","-11.65%"
"Jun 11","3.160","3.070","3.221","2.842","3.30%"
"May 11","3.059","3.297","3.323","3.041","-7.02%"
"Apr 11","3.290","3.476","3.619","3.283","-5.19%"
"Mar 11","3.470","3.440","3.598","3.143","1.40%"
"Feb 11","3.422","3.372","3.770","3.372","1.42%"
"Jan 11","3.374","3.305","3.497","3.253","2.62%"
"Dec 10","3.288","2.809","3.568","2.797","17.55%"
"Nov 10","2.797","2.621","2.967","2.458","7.45%"
"Oct 10","2.603","2.515","2.731","2.334","3.62%"
"Sep 10","2.512","2.482","2.849","2.449","1.70%"
"Aug 10","2.470","2.925","2.972","2.419","-14.97%"
"Jul 10","2.905","2.942","3.132","2.855","-1.02%"
"Jun 10","2.935","3.300","3.427","2.928","-11.14%"
"May 10","3.303","3.663","3.713","3.064","-9.73%"
"Apr 10","3.659","3.839","4.013","3.655","-4.54%"
"Mar 10","3.833","3.625","3.928","3.593","5.91%"
"Feb 10","3.619","3.606","3.828","3.537","0.86%"
"Jan 10","3.588","3.858","3.904","3.563","-6.49%"
"Dec 09","3.837","3.207","3.918","3.196","19.98%"
"Nov 09","3.198","3.396","3.563","3.154","-5.61%"
"Oct 09","3.388","3.318","3.581","3.106","2.51%"
"Sep 09","3.305","3.403","3.534","3.272","-2.82%"
"Aug 09","3.401","3.512","3.893","3.374","-2.33%"
"Jul 09","3.482","3.527","3.766","3.261","-1.55%"
"Jun 09","3.537","3.492","4.008","3.454","2.20%"
"May 09","3.461","3.115","3.754","3.072","10.97%"
"Apr 09","3.119","2.668","3.166","2.650","16.90%"
"Mar 09","2.668","3.020","3.045","2.462","-11.68%"
"Feb 09","3.021","2.851","3.058","2.619","5.96%"
"Jan 09","2.851","2.250","2.894","2.148","28.42%"
"Dec 08","2.220","2.960","2.962","2.040","-23.97%"
"Nov 08","2.920","3.959","3.984","2.908","-26.45%"
"Oct 08","3.970","3.748","4.110","3.402","3.68%"
"Sep 08","3.829","3.827","3.909","3.251","0.10%"
"Aug 08","3.825","3.958","4.094","3.763","-3.36%"
"Jul 08","3.958","3.967","4.178","3.771","-0.43%"
"Jun 08","3.975","4.058","4.288","3.858","-2.26%"
"May 08","4.067","3.740","4.141","3.683","8.92%"
"Apr 08","3.734","3.734","3.734","3.734","9.15%"
"Mar 08","3.421","3.421","3.421","3.421","-2.78%"
"Feb 08","3.519","3.519","3.519","3.519","-2.17%"
"Jan 08","3.597","3.597","3.597","3.597","-10.86%"
"Dec 07","4.035","4.035","4.035","4.035","2.18%"
"Nov 07","3.949","3.949","3.949","3.949","-11.71%"
"Oct 07","4.473","4.473","4.473","4.473","-2.63%"
"Sep 07","4.594","4.594","4.594","4.594","1.48%"
"Aug 07","4.527","4.527","4.527","4.527","-4.35%"
"Jul 07","4.733","4.733","4.733","4.733","-5.85%"
"Jun 07","5.027","5.027","5.027","5.027","2.76%"
"May 07","4.892","4.892","4.892","4.892","5.70%"
"Apr 07","4.628","4.628","4.628","4.628","-0.43%"
"Mar 07","4.648","4.648","4.648","4.648","1.55%"
"Feb 07","4.577","4.577","4.577","4.577","-4.92%"
"Jan 07","4.814","4.814","4.814","4.814","2.43%"
"Dec 06","4.700","4.700","4.700","4.700","5.33%"
"Nov 06","4.462","4.462","4.462","4.462","-3.08%"
"Oct 06","4.604","4.604","4.604","4.604","-0.63%"
"Sep 06","4.633","4.633","4.633","4.633","-2.09%"
"Aug 06","4.732","4.732","4.732","4.732","-5.13%"
"Jul 06","4.988","4.988","4.988","4.988","-3.05%"
"Jun 06","5.145","5.145","5.145","5.145","0.43%"
"May 06","5.123","5.123","5.123","5.123","1.31%"
"Apr 06","5.057","5.057","5.057","5.057","4.20%"
"Mar 06","4.853","4.853","4.853","4.853","6.50%"
"Feb 06","4.557","4.557","4.557","4.557","0.84%"
"Jan 06","4.519","4.519","4.519","4.519","2.82%"
"Dec 05","4.395","4.395","4.395","4.395","-2.12%"
"Nov 05","4.490","4.490","4.490","4.490","-1.47%"
"Oct 05","4.557","4.557","4.557","4.557","5.19%"
"Sep 05","4.332","4.332","4.332","4.332","7.92%"
"Aug 05","4.014","4.014","4.014","4.014","-6.26%"
"Jul 05","4.282","4.282","4.282","4.282","9.21%"
"Jun 05","3.921","3.921","3.921","3.921","-1.66%"
"May 05","3.987","3.987","3.987","3.987","-5.07%"
"Apr 05","4.200","4.200","4.200","4.200","-6.42%"
"Mar 05","4.488","4.488","4.488","4.488","2.44%"
"Feb 05","4.381","4.381","4.381","4.381","6.03%"
"Jan 05","4.132","4.132","4.132","4.132","-2.13%"
"Dec 04","4.222","4.222","4.222","4.222","-3.05%"
"Nov 04","4.355","4.355","4.355","4.355","8.09%"
"Oct 04","4.029","4.029","4.029","4.029","-2.28%"
"Sep 04","4.123","4.123","4.123","4.123","-2.76%"
"Aug 04","4.240","4.240","4.240","4.240","-5.59%"
"Jul 04","4.491","4.491","4.491","4.491","-2.01%"
"Jun 04","4.583","4.583","4.583","4.583","-1.76%"
"May 04","4.665","4.665","4.665","4.665","3.44%"
"Apr 04","4.510","4.510","4.510","4.510","17.54%"
"Mar 04","3.837","3.837","3.837","3.837","-3.40%"
"Feb 04","3.972","3.972","3.972","3.972","-3.92%"
"Jan 04","4.134","4.134","4.134","4.134","-2.80%"
"Dec 03","4.253","4.253","4.253","4.253","-1.87%"
"Nov 03","4.334","4.334","4.334","4.334","0.86%"
"Oct 03","4.297","4.297","4.297","4.297","9.06%"
"Sep 03","3.940","3.940","3.940","3.940","-11.86%"
"Aug 03","4.470","4.470","4.470","4.470","1.36%"
"Jul 03","4.410","4.410","4.410","4.410","25.43%"
"Jun 03","3.516","3.516","3.516","3.516","4.24%"
"May 03","3.373","3.373","3.373","3.373","-12.16%"
"Apr 03","3.840","3.840","3.840","3.840","1.00%"
"Mar 03","3.802","3.802","3.802","3.802","2.98%"
"Feb 03","3.692","3.692","3.692","3.692","-6.91%"
"Jan 03","3.966","3.966","3.966","3.966","3.88%"
"Dec 02","3.818","3.818","3.818","3.818","-9.33%"
"Nov 02","4.211","4.211","4.211","4.211","8.11%"
"Oct 02","3.895","3.895","3.895","3.895","8.19%"
"Sep 02","3.600","3.600","3.600","3.600","-12.83%"
"Aug 02","4.130","4.130","4.130","4.130","-7.38%"
"Jul 02","4.459","4.459","4.459","4.459","-7.28%"
"Jun 02","4.809","4.809","4.809","4.809","-4.68%"
"May 02","5.045","5.045","5.045","5.045","-0.86%"
"Apr 02","5.089","5.089","5.089","5.089","-5.86%"
"Mar 02","5.406","5.406","5.406","5.406","10.92%"
"Feb 02","4.874","4.874","4.874","4.874","-3.41%"
"Jan 02","5.046","5.046","5.046","5.046","0.34%"
"Dec 01","5.029","5.029","5.029","5.029","5.78%"
"Nov 01","4.754","4.754","4.754","4.754","12.02%"
"Oct 01","4.244","4.244","4.244","4.244","-7.54%"
"Sep 01","4.590","4.590","4.590","4.590","-5.17%"
"Aug 01","4.840","4.840","4.840","4.840","-4.25%"
"Jul 01","5.055","5.055","5.055","5.055","-6.46%"
"Jun 01","5.404","5.404","5.404","5.404","0.35%"
"May 01","5.385","5.385","5.385","5.385","0.92%"
"Apr 01","5.336","5.336","5.336","5.336","8.57%"
"Mar 01","4.915","4.915","4.915","4.915","0.22%"
"Feb 01","4.904","4.904","4.904","4.904","-4.07%"
"Jan 01","5.112","5.112","5.112","5.112","0.00%"
"Dec 00","5.112","5.112","5.112","5.112","-6.68%"
"Nov 00","5.478","5.478","5.478","5.478","-4.91%"
"Oct 00","5.761","5.761","5.761","5.761","-0.81%"
"Sep 00","5.808","5.808","5.808","5.808","1.38%"
"Aug 00","5.729","5.729","5.729","5.729","-5.15%"
"Jul 00","6.040","6.040","6.040","6.040","0.22%"
"Jun 00","6.027","6.027","6.027","6.027","-4.11%"
"May 00","6.285","6.285","6.285","6.285","1.08%"
"Apr 00","6.218","6.218","6.218","6.218","3.60%"
"Mar 00","6.002","6.002","6.002","6.002","-6.35%"
"Feb 00","6.409","6.409","6.409","6.409","-3.80%"
"Jan 00","6.662","6.662","6.662","6.662","3.53%"
"Dec 99","6.435","6.435","6.435","6.435","3.91%"
"Nov 99","6.193","6.193","6.193","6.193","2.74%"
"Oct 99","6.028","6.028","6.028","6.028","2.50%"
"Sep 99","5.881","5.881","5.881","5.881","-1.56%"
"Aug 99","5.974","5.974","5.974","5.974","1.22%"
"Jul 99","5.902","5.902","5.902","5.902","2.02%"
"Jun 99","5.785","5.785","5.785","5.785","2.86%"
"May 99","5.624","5.624","5.624","5.624","5.12%"
"Apr 99","5.350","5.350","5.350","5.350","2.06%"
"Mar 99","5.242","5.242","5.242","5.242","-0.98%"
"Feb 99","5.294","5.294","5.294","5.294","13.78%"
"Jan 99","4.653","4.653","4.653","4.653","-0.11%"
"Dec 98","4.658","4.658","4.658","4.658","-1.36%"
"Nov 98","4.722","4.722","4.722","4.722","2.59%"
"Oct 98","4.603","4.603","4.603","4.603","4.09%"
"Sep 98","4.422","4.422","4.422","4.422","-12.40%"
"Aug 98","5.048","5.048","5.048","5.048","-8.12%"
"Jul 98","5.494","5.494","5.494","5.494","0.88%"
"Jun 98","5.446","5.446","5.446","5.446","-2.02%"
"May 98","5.558","5.558","5.558","5.558","-4.50%"
"Apr 98","5.820","5.820","5.820","5.820","2.86%"
"Mar 98","5.658","5.658","5.658","5.658","0.60%"
"Feb 98","5.624","5.624","5.624","5.624","1.96%"
"Jan 98","5.516","5.516","5.516","5.516","-3.97%"
"Dec 97","5.744","5.744","5.744","5.744","-2.31%"
"Nov 97","5.880","5.880","5.880","5.880","0.84%"
"Oct 97","5.831","5.831","5.831","5.831","-4.46%"
"Sep 97","6.103","6.103","6.103","6.103","-3.72%"
"Aug 97","6.339","6.339","6.339","6.339","5.42%"
"Jul 97","6.013","6.013","6.013","6.013","-7.52%"
"Jun 97","6.502","6.502","6.502","6.502","-2.42%"
"May 97","6.663","6.663","6.663","6.663","-0.77%"
"Apr 97","6.715","6.715","6.715","6.715","-2.78%"
"Mar 97","6.907","6.907","6.907","6.907","5.35%"
"Feb 97","6.556","6.556","6.556","6.556","0.82%"
"Jan 97","6.503","6.503","6.503","6.503","1.15%"
"Dec 96","6.429","6.429","6.429","6.429","6.30%"
"Nov 96","6.048","6.048","6.048","6.048","-4.62%"
"Oct 96","6.341","6.341","6.341","6.341","-5.40%"
"Sep 96","6.703","6.703","6.703","6.703","-3.48%"
"Aug 96","6.945","6.945","6.945","6.945","2.16%"
"Jul 96","6.798","6.798","6.798","6.798","1.22%"
"Jun 96","6.716","6.716","6.716","6.716","-1.93%"
"May 96","6.848","6.848","6.848","6.848","2.53%"
"Apr 96","6.679","6.679","6.679","6.679","5.45%"
"Mar 96","6.334","6.334","6.334","6.334","3.79%"
"Feb 96","6.103","6.103","6.103","6.103","9.45%"
"Jan 96","5.576","5.576","5.576","5.576","0.02%"
"Dec 95","5.575","5.575","5.575","5.575","-2.96%"
"Nov 95","5.745","5.745","5.745","5.745","-4.63%"
"Oct 95","6.024","6.024","6.024","6.024","-2.56%"
"Sep 95","6.182","6.182","6.182","6.182","-1.65%"
"Aug 95","6.286","6.286","6.286","6.286","-2.15%"
"Jul 95","6.424","6.424","6.424","6.424","3.50%"
"Jun 95","6.207","6.207","6.207","6.207","-1.26%"
"May 95","6.286","6.286","6.286","6.286","-10.90%"
"Apr 95","7.055","7.055","7.055","7.055","-1.99%"
"Mar 95","7.198","7.198","7.198","7.198","-0.10%"
"Feb 95","7.205","7.205","7.205","7.205","-4.93%"
"Jan 95","7.579","7.579","7.579","7.579","-3.22%"
"Dec 94","7.831","7.831","7.831","7.831","-0.95%"
"Nov 94","7.906","7.906","7.906","7.906","1.20%"
"Oct 94","7.812","7.812","7.812","7.812","2.68%"
"Sep 94","7.608","7.608","7.608","7.608","5.99%"
"Aug 94","7.178","7.178","7.178","7.178","0.91%"
"Jul 94","7.113","7.113","7.113","7.113","-2.89%"
"Jun 94","7.325","7.325","7.325","7.325","2.42%"
"May 94","7.152","7.152","7.152","7.152","1.58%"
"Apr 94","7.041","7.041","7.041","7.041","4.50%"
"Mar 94","6.738","6.738","6.738","6.738","9.86%"
"Feb 94","6.133","6.133","6.133","6.133","8.64%"
"Jan 94","5.645","5.645","5.645","5.645","-2.45%"
"Dec 93","5.787","5.787","5.787","5.787","-0.52%"
"Nov 93","5.817","5.817","5.817","5.817","7.32%"
"Oct 93","5.420","5.420","5.420","5.420","0.86%"
"Sep 93","5.374","5.374","5.374","5.374","-1.32%"
"Aug 93","5.446","5.446","5.446","5.446","-6.25%"
"Jul 93","5.809","5.809","5.809","5.809","0.54%"
"Jun 93","5.778","5.778","5.778","5.778","-5.43%"
"May 93","6.110","6.110","6.110","6.110","1.68%"
"Apr 93","6.009","6.009","6.009","6.009","-0.25%"
"Mar 93","6.024","6.024","6.024","6.024","0.18%"
"Feb 93","6.013","6.013","6.013","6.013","-5.47%"
"Jan 93","6.361","6.361","6.361","6.361","-4.92%"
"Dec 92","6.690","6.690","6.690","6.690","-3.44%"
"Nov 92","6.928","6.928","6.928","6.928","2.05%"
"Oct 92","6.789","6.789","6.789","6.789","6.85%"
"Sep 92","6.354","6.354","6.354","6.354","-3.79%"
"Aug 92","6.604","6.604","6.604","6.604","-1.37%"
"Jul 92","6.696","6.696","6.696","6.696","-5.99%"
"Jun 92","7.123","7.123","7.123","7.123","-2.72%"
"May 92","7.322","7.322","7.322","7.322","-3.44%"
"Apr 92","7.583","7.583","7.583","7.583","0.70%"
"Mar 92","7.530","7.530","7.530","7.530","3.83%"
"Feb 92","7.252","7.252","7.252","7.252","-0.33%"
"Jan 92","7.276","7.276","7.276","7.276","8.61%"
"Dec 91","6.699","6.699","6.699","6.699","-9.15%"
"Nov 91","7.374","7.374","7.374","7.374","-0.65%"
"Oct 91","7.422","7.422","7.422","7.422","-0.40%"
"Sep 91","7.452","7.452","7.452","7.452","-4.63%"
"Aug 91","7.814","7.814","7.814","7.814","-4.20%"
"Jul 91","8.157","8.157","8.157","8.157","-0.91%"
"Jun 91","8.232","8.232","8.232","8.232","2.12%"
"May 91","8.061","8.061","8.061","8.061","0.54%"
"Apr 91","8.018","8.018","8.018","8.018","-0.57%"
"Mar 91","8.064","8.064","8.064","8.064","0.24%"
"Feb 91","8.045","8.045","8.045","8.045","0.30%"
"Jan 91","8.021","8.021","8.021","8.021","-0.72%"
"Dec 90","8.079","8.079","8.079","8.079","-2.14%"
"Nov 90","8.256","8.256","8.256","8.256","-4.30%"
"Oct 90","8.627","8.627","8.627","8.627","-2.08%"
"Sep 90","8.810","8.810","8.810","8.810","-0.55%"
"Aug 90","8.859","8.859","8.859","8.859","6.08%"
"Jul 90","8.351","8.351","8.351","8.351","-0.85%"
"Jun 90","8.423","8.423","8.423","8.423","-2.26%"
"May 90","8.618","8.618","8.618","8.618","-5.01%"
"Apr 90","9.073","9.073","9.073","9.073","5.24%"
"Mar 90","8.621","8.621","8.621","8.621","1.10%"
"Feb 90","8.527","8.527","8.527","8.527","1.23%"
"Jan 90","8.423","8.423","8.423","8.423","6.18%"
"Dec 89","7.933","7.933","7.933","7.933","1.21%"
"Nov 89","7.838","7.838","7.838","7.838","-1.07%"
"Oct 89","7.923","7.923","7.923","7.923","-4.58%"
"Sep 89","8.303","8.303","8.303","8.303","0.57%"
"Aug 89","8.256","8.256","8.256","8.256","5.68%"
"Jul 89","7.812","7.812","7.812","7.812","-3.52%"
"Jun 89","8.097","8.097","8.097","8.097","-5.88%"
"May 89","8.603","8.603","8.603","8.603","-4.60%"
"Apr 89","9.018","9.018","9.018","9.018","-3.07%"
"Mar 89","9.304","9.304","9.304","9.304","-0.20%"
"Feb 89","9.323","9.323","9.323","9.323","3.55%"
"Jan 89","9.003","9.003","9.003","9.003","-1.55%"
"Dec 88","9.145","9.145","9.145","9.145","0.92%"
"Nov 88","9.062","9.062","9.062","9.062","4.86%"
"Oct 88","8.642","8.642","8.642","8.642","-2.43%"
"Sep 88","8.857","8.857","8.857","8.857","-4.29%"
"Aug 88","9.254","9.254","9.254","9.254","1.49%"
"Jul 88","9.118","9.118","9.118","9.118","3.50%"
"Jun 88","8.810","8.810","8.810","8.810","-4.37%"
"May 88","9.213","9.213","9.213","9.213","3.90%"
"Apr 88","8.867","8.867","8.867","8.867","3.48%"
"Mar 88","8.569","8.569","8.569","8.569","5.12%"
"Feb 88","8.152","8.152","8.152","8.152","-1.45%"
"Jan 88","8.272","8.272","8.272","8.272","-6.36%"
"Dec 87","8.834","8.834","8.834","8.834","-1.72%"
"Nov 87","8.989","8.989","8.989","8.989","2.16%"
"Oct 87","8.799","8.799","8.799","8.799","-8.70%"
"Sep 87","9.637","9.637","9.637","9.637","7.44%"
"Aug 87","8.970","8.970","8.970","8.970","3.62%"
"Jul 87","8.657","8.657","8.657","8.657","3.42%"
"Jun 87","8.371","8.371","8.371","8.371","-1.54%"
"May 87","8.502","8.502","8.502","8.502","3.91%"
"Apr 87","8.182","8.182","8.182","8.182","9.25%"
"Mar 87","7.489","7.489","7.489","7.489","4.35%"
"Feb 87","7.177","7.177","7.177","7.177","0.24%"
"Jan 87","7.160","7.160","7.160","7.160","-0.83%"
"Dec 86","7.220","7.220","7.220","7.220","0.18%"
"Nov 86","7.207","7.207","7.207","7.207","-1.41%"
"Oct 86","7.310","7.310","7.310","7.310","-1.64%"
"Sep 86","7.432","7.432","7.432","7.432","7.35%"
"Aug 86","6.923","6.923","6.923","6.923","-5.54%"
"Jul 86","7.329","7.329","7.329","7.329","-0.12%"
"Jun 86","7.338","7.338","7.338","7.338","-9.01%"
"May 86","8.065","8.065","8.065","8.065","9.44%"
"Apr 86","7.369","7.369","7.369","7.369","-0.14%"
"Mar 86","7.379","7.379","7.379","7.379","-9.38%"
"Feb 86","8.143","8.143","8.143","8.143","-9.96%"
"Jan 86","9.044","9.044","9.044","9.044","0.63%"
"Dec 85","8.987","8.987","8.987","8.987","-6.67%"
"Nov 85","9.629","9.629","9.629","9.629","-3.61%"
"Oct 85","9.990","9.990","9.990","9.990","-2.90%"
"Sep 85","10.288","10.288","10.288","10.288","-0.33%"
"Aug 85","10.322","10.322","10.322","10.322","-2.22%"
"Jul 85","10.556","10.556","10.556","10.556","3.13%"
"Jun 85","10.236","10.236","10.236","10.236","-0.52%"
"May 85","10.289","10.289","10.289","10.289","-9.71%"
"Apr 85","11.396","11.396","11.396","11.396","-2.07%"
"Mar 85","11.637","11.637","11.637","11.637","-2.43%"
"Feb 85","11.927","11.927","11.927","11.927","7.01%"
"Jan 85","11.146","11.146","11.146","11.146","-3.43%"
"Dec 84","11.542","11.542","11.542","11.542","-0.44%"
"Nov 84","11.593","11.593","11.593","11.593","-1.58%"
"Oct 84","11.779","11.779","11.779","11.779","-5.48%"
"Sep 84","12.462","12.462","12.462","12.462","-3.08%"
"Aug 84","12.858","12.858","12.858","12.858","-0.30%"
"Jul 84","12.897","12.897","12.897","12.897","-6.73%"
"Jun 84","13.827","13.827","13.827","13.827","-0.33%"
"May 84","13.873","13.873","13.873","13.873","8.39%"
"Apr 84","12.799","12.799","12.799","12.799","2.38%"
"Mar 84","12.502","12.502","12.502","12.502","4.13%"
"Feb 84","12.006","12.006","12.006","12.006","3.16%"
"Jan 84","11.638","11.638","11.638","11.638","-1.21%"
"Dec 83","11.781","11.781","11.781","11.781","1.46%"
"Nov 83","11.611","11.611","11.611","11.611","-0.82%"
"Oct 83","11.707","11.707","11.707","11.707","2.75%"
"Sep 83","11.394","11.394","11.394","11.394","-3.42%"
"Aug 83","11.798","11.798","11.798","11.798","0.53%"
"Jul 83","11.736","11.736","11.736","11.736","7.41%"
"Jun 83","10.926","10.926","10.926","10.926","0.66%"
"May 83","10.854","10.854","10.854","10.854","6.00%"
"Apr 83","10.240","10.240","10.240","10.240","-3.43%"
"Mar 83","10.604","10.604","10.604","10.604","3.78%"
"Feb 83","10.218","10.218","10.218","10.218","-5.16%"
"Jan 83","10.774","10.774","10.774","10.774","4.41%"
"Dec 82","10.319","10.319","10.319","10.319","-8.33%"
"Nov 82","11.257","11.257","11.257","11.257","1.21%"
"Oct 82","11.122","11.122","11.122","11.122","-7.26%"
"Sep 82","11.993","11.993","11.993","11.993","-6.25%"
"Aug 82","12.792","12.792","12.792","12.792","-6.36%"
"Jul 82","13.661","13.661","13.661","13.661","-5.18%"
"Jun 82","14.407","14.407","14.407","14.407","4.58%"
"May 82","13.776","13.776","13.776","13.776","-0.49%"
"Apr 82","13.844","13.844","13.844","13.844","-2.15%"
"Mar 82","14.148","14.148","14.148","14.148","1.45%"
"Feb 82","13.946","13.946","13.946","13.946","-1.19%"
"Jan 82","14.114","14.114","14.114","14.114","1.10%"
"Dec 81","13.960","13.960","13.960","13.960","5.59%"
"Nov 81","13.221","13.221","13.221","13.221","-9.51%"
"Oct 81","14.611","14.611","14.611","14.611","-7.64%"
"Sep 81","15.820","15.820","15.820","15.820","2.93%"
"Aug 81","15.370","15.370","15.370","15.370","4.91%"
"Jul 81","14.651","14.651","14.651","14.651","5.78%"
"Jun 81","13.850","13.850","13.850","13.850","3.34%"
